distance_km,duration_min,traffic_level,hour,passenger_count,fare,eta_min
14.8,33,2,13,1,505,35.83
15.0,57,3,7,2,594,58.35
11.1,24,1,5,1,379,22.59
19.2,35,1,14,1,610,37.53
11.6,24,1,6,2,398,24.75
15.0,31,1,5,1,487,30.23
3.3,9,1,13,1,165,8.45
15.0,35,2,19,1,507,44.03
10.9,27,1,6,1,373,21.01
10.3,43,3,18,1,422,38.26
14.9,25,1,16,1,477,36.16
9.9,26,2,20,2,384,23.88
9.9,45,3,9,1,420,37.48
6.9,18,2,21,1,289,17.35
9.1,22,1,13,1,324,16.29
15.6,45,2,12,2,565,37.89
4.3,11,1,22,1,185,8.57
14.0,39,2,16,1,488,43.93
18.8,64,3,11,2,702,61.13
3.3,10,2,23,1,168,9.87
13.5,59,3,7,3,570,51.89
15.6,31,1,15,2,514,31.02
19.9,79,3,13,1,751,63.46
12.5,33,2,10,1,451,33.05
2.8,16,3,19,1,181,10.02
9.4,18,1,20,2,330,19.62
14.2,46,3,17,1,530,52.54
17.0,56,3,7,1,622,64.29
11.7,39,2,16,1,444,35.03
7.8,16,1,15,1,274,14.01
1.6,7,3,17,1,144,7.34
10.1,48,3,19,1,436,37.65
10.2,43,3,7,2,443,40.2
19.4,33,1,5,1,597,38.54
16.3,37,2,21,2,563,42.74
18.6,60,2,6,1,658,47.92
5.5,13,1,9,2,219,14.1
12.5,29,1,23,2,438,23.36
2.0,8,2,11,2,142,4.43
19.5,32,1,23,1,596,38.76
4.1,14,2,7,1,202,11.74
9.2,18,1,23,1,328,16.6
1.1,5,1,20,1,95,3.0
6.2,17,2,20,1,257,16.19
18.8,33,1,6,2,609,36.7
6.6,16,1,18,1,242,16.24
7.7,15,1,22,1,267,16.2
3.0,12,3,9,4,218,12.13
1.6,8,2,16,1,132,3.0
1.6,6,2,6,1,113,4.71
18.0,83,3,19,1,697,69.06
15.8,31,1,15,1,521,33.22
2.2,9,1,23,3,147,3.0
8.2,34,3,9,1,354,31.88
1.4,5,1,23,1,92,3.0
7.4,21,2,14,2,299,17.77
19.4,40,1,12,3,642,39.85
16.9,29,1,13,1,534,35.02
5.1,13,2,23,3,233,13.25
19.8,40,1,21,2,648,41.24
9.5,18,1,12,2,332,18.4
7.7,21,2,12,1,309,20.56
17.3,33,1,23,1,551,34.32
16.0,83,3,16,2,658,61.82
14.1,32,1,21,1,473,29.64
16.1,52,3,7,1,601,61.05
7.8,16,1,6,1,274,17.51
11.5,54,3,7,2,491,44.45
13.3,34,2,23,2,476,34.02
18.0,54,2,21,1,628,45.64
10.9,40,3,8,2,446,40.7
7.9,25,2,7,3,330,25.13
19.2,48,2,7,1,655,58.71
10.8,20,1,5,4,391,19.97
9.3,16,1,5,1,330,19.9
13.2,46,3,18,2,521,51.58
11.0,26,1,22,1,374,22.85
5.8,14,2,20,1,238,13.19
19.2,46,2,10,1,647,47.59
13.6,32,2,9,1,473,41.88
7.9,23,2,11,1,310,20.34
11.2,38,2,10,1,432,27.63
19.0,37,1,15,4,638,40.0
6.5,23,3,14,2,311,21.89
14.8,37,2,19,1,518,44.31
3.0,6,1,5,3,151,7.68
13.1,23,1,23,2,429,25.81
17.1,67,3,7,1,647,66.05
1.9,7,2,16,2,130,6.54
7.4,39,3,14,3,367,25.62
19.9,45,2,19,2,677,60.56
3.5,12,1,23,1,167,8.61
7.2,23,2,23,1,294,19.16
11.5,34,2,23,1,427,30.62
1.6,6,2,14,1,111,4.02
0.8,3,1,13,2,95,3.0
6.3,18,2,10,2,268,16.82
19.9,78,3,7,1,733,76.45
14.0,43,2,8,2,518,43.34
3.6,18,3,19,1,209,12.2
18.3,32,1,16,1,569,42.33
12.9,55,3,8,1,526,47.98
16.2,50,2,13,2,593,39.01
1.0,6,1,21,2,94,3.0
5.0,11,1,21,1,210,9.62
10.9,27,2,22,2,416,29.1
3.0,14,3,9,1,196,9.77
17.9,42,2,21,1,609,43.87
5.1,27,3,9,1,265,20.84
15.5,26,1,8,2,495,37.72
16.0,35,2,21,1,535,40.12
1.0,9,3,8,3,140,5.36
7.5,23,2,7,2,310,22.04
17.2,43,2,12,1,587,44.5
14.5,35,1,14,2,508,27.5
18.5,52,2,20,2,639,46.25
7.6,23,2,17,1,302,20.85
9.7,19,1,21,2,334,18.16
7.1,20,2,8,1,296,23.21
5.1,15,2,18,3,256,15.84
9.9,25,2,16,4,396,28.61
13.4,36,2,7,1,483,39.66
17.9,37,1,10,4,618,34.34
3.2,14,3,18,1,188,12.39
16.0,40,2,17,2,560,48.05
3.6,12,2,19,1,175,9.4
2.7,9,2,6,1,158,4.86
7.1,24,2,14,1,302,19.4
16.0,32,1,11,1,526,30.55
11.2,48,3,5,1,458,36.46
6.8,22,2,17,1,291,18.5
17.8,44,2,10,1,594,43.14
13.8,39,2,22,2,503,35.57
8.3,23,2,20,1,318,22.69
2.0,8,1,23,3,130,3.61
17.9,41,2,15,1,589,45.96
5.5,12,2,12,2,237,14.32
7.3,15,1,5,1,268,14.74
8.9,21,2,5,2,342,22.04
11.8,25,1,20,2,416,22.49
7.3,23,2,14,1,305,18.2
16.9,36,1,22,1,557,33.52
12.8,47,3,7,2,511,50.45
11.0,28,2,18,2,418,34.68
9.1,20,1,22,1,327,19.23
11.3,25,1,5,1,391,24.49
16.6,42,2,19,2,589,51.04
18.7,39,1,6,1,605,39.06
6.6,18,2,18,3,299,21.75
5.9,16,2,14,1,240,14.45
4.5,16,2,12,1,213,10.81
18.2,40,1,11,1,594,37.86
4.2,25,3,6,1,230,14.28
12.4,53,3,7,1,491,45.65
18.9,48,2,9,2,652,57.14
11.9,24,1,21,3,428,25.56
7.1,21,2,23,2,293,19.31
2.9,15,3,11,1,187,10.66
8.0,24,2,8,1,327,22.96
18.8,81,3,16,1,727,72.8
1.5,7,2,6,2,127,3.05
19.2,72,3,16,2,718,74.88
1.0,9,3,17,3,154,4.35
6.5,24,3,10,2,303,20.8
1.5,8,3,7,3,167,5.91
14.6,56,3,8,2,574,56.31
16.4,51,2,15,1,585,41.91
16.0,34,1,9,1,514,39.5
5.6,20,3,9,2,274,20.31
14.9,30,1,13,2,488,30.4
7.9,26,3,17,3,365,30.86
18.5,85,3,12,4,740,58.26
8.5,27,3,18,1,353,33.57
1.1,6,2,21,3,120,3.0
14.5,65,3,11,2,585,44.68
9.1,28,2,11,4,382,23.71
8.6,19,1,9,4,332,19.99
12.0,24,1,19,1,401,30.27
4.9,21,3,17,2,249,19.98
7.2,21,2,12,1,299,18.11
14.4,32,1,6,1,483,27.78
3.3,9,1,22,1,152,6.42
9.8,28,2,7,2,370,30.89
3.3,13,2,13,3,201,7.1
15.4,47,2,13,1,549,36.53
19.0,43,2,22,2,633,48.53
5.2,10,1,6,1,214,9.5
10.3,28,2,19,2,402,29.19
17.4,51,2,8,1,613,52.32
16.6,45,2,23,2,586,42.87
11.8,45,3,18,1,466,47.07
6.3,18,2,8,2,265,17.29
2.4,6,2,20,4,183,4.79
13.4,36,2,19,2,489,40.04
4.9,15,2,6,1,224,13.43
12.4,31,2,7,1,432,38.09
17.2,46,2,10,1,584,42.25
6.5,23,3,18,3,310,23.19
2.6,11,3,16,1,174,10.09
8.9,37,3,18,2,380,33.6
7.4,30,3,19,2,341,27.97
13.2,31,2,7,1,454,39.09
3.3,9,2,14,2,170,7.69
1.7,10,3,8,1,155,6.74
7.6,19,1,23,1,275,16.53
4.3,9,1,17,1,186,11.16
15.3,51,3,19,1,562,57.08
4.4,16,3,13,1,218,12.37
4.1,13,2,20,1,204,10.16
6.6,27,3,16,4,324,25.12
3.4,10,1,11,1,153,8.09
13.3,31,2,12,2,470,34.23
9.7,25,2,20,1,361,24.65
10.1,31,2,5,2,403,24.62
1.8,5,1,5,3,130,4.91
11.9,50,3,22,1,488,36.36
18.8,43,1,20,1,612,35.65
5.9,24,3,18,1,279,21.1
9.2,19,1,10,1,316,16.82
18.3,64,3,15,3,700,60.52
14.7,54,3,17,3,588,54.8
16.2,41,2,10,1,548,39.73
4.6,9,1,20,1,181,10.29
1.7,4,1,5,1,114,3.84
10.5,32,2,7,1,396,32.41
19.9,77,3,16,2,755,77.79
